name_cn,name_en,type,grapes,favor,age,market_price,price,score,click,factory,location
沃勒海姆波特酒,"Wollersheim Winery Port, New York, USA",波特酒/雪莉酒,马雷夏尔福煦,,2010,420,-1,,1350,沃勒海姆酒庄,美国-纽约州
坎布里炼金西拉加强酒,"Camberley Elixir Shiraz, Stellenbosch, South Africa",加强酒,西拉,,2005,-1,-1,,1515,坎布里酒庄,南非-西开普省
翠鹰庄阿斯提卡长相思干白葡萄酒,"Trapiche Astica Sauvignon Blanc, Cuyo, Argentina",白葡萄酒,长相思,,2011,100,-1,,1600,翠鹰庄,-阿根廷
阿姆斯特蕾切尔桃红葡萄酒,"Amherst Rachels Rose, Pyrenees, Australia",红葡萄酒,赤霞珠,活泼 纯净,2015,-1,-1,,701,阿姆斯特酒庄,澳大利亚-帕洛利
亨利·理查德酒庄勃艮第山丘红葡萄酒,"Domaine Henri Richard Coteaux Bourguignons Corvee de L'eglise, Burgundy, France",红葡萄酒,黑皮诺 100%,白胡椒 酸樱桃 咸鲜,2011,-1,-1,,528,亨利·理查德酒庄,法国-勃艮第
困难山塔戈特谷雷司令,"Mt Difficulty Target Gully Riesling, Central Otago, New Zealand",白葡萄酒,雷司令,,2012,385,-1,"鲍勃·坎贝尔:0.87
杰西斯·罗宾逊:0.25
鲍勃·坎贝尔:0.95
《葡萄酒倡导家》:0.85
鲍勃·坎贝尔:0.94",2299,困难山酒庄,新西兰-中部奥塔哥
长城天赋葡园珍藏干红葡萄酒（蓬莱）,"GreatWall Terroir Reserve Red, Penglai, China",红葡萄酒,赤霞珠,,2010,-1,-1,,1371,长城天赋葡园,-中国
西斯尔山雷司令白葡萄酒,"Thistle Hill Riesling, Mudgee, Australia",白葡萄酒,雷司令,焦糖 柑橘 桃子 烟熏,2010,-1,-1,《詹姆士·韩礼德澳大利亚葡萄酒指南》:0.94,506,西斯尔山酒庄,澳大利亚-满吉
,"Roberto Bellini Podere Brizio Leonensis Sant'Antimo, Tuscany, Italy",,,均衡,2007,-1,-1,《大红虾》:0.3333333333333333,1234,布里奇奥酒庄,意大利-托斯卡纳
优莱百利野鸭梅洛干红葡萄酒,"Uleybury Anitra Merlot, South Australia, Australia",红葡萄酒,梅洛,黑果 紫罗兰 酒体丰满,2006,-1,-1,,668,优莱百利酒庄,澳大利亚-南澳州
,Dry Creek Zinfandel Dry Creek Valley,,,均衡 复杂 凝练 有深度 风味,1986,-1,-1,,954,干溪谷酒庄,美国-索诺玛县
